City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City_weather
0,Saint George,US,2022-09-27 02:21:04,37.1041,-113.5841,90.19,19,0,3.44,Clear
1,Bozeman,US,2022-09-27 02:21:04,45.6796,-111.0386,69.22,57,0,6.91,Clear
2,Taltal,CL,2022-09-27 02:21:05,-25.4,-70.4833,58.39,69,0,5.35,Clear
3,Ushuaia,AR,2022-09-27 02:17:51,-54.8,-68.3,40.66,65,40,13.8,Clouds
4,Hofn,IS,2022-09-27 02:21:05,64.2539,-15.2082,40.41,53,48,22.57,Clouds
5,East London,ZA,2022-09-27 02:20:11,-33.0153,27.9116,64.76,92,100,22.5,Rain
6,Kalispell,US,2022-09-27 02:21:05,48.1958,-114.3129,65.68,61,0,4.61,Clear
7,Poum,NC,2022-09-27 02:21:06,-20.2333,164.0167,77.34,72,1,10.8,Clear
8,Rikitea,PF,2022-09-27 02:19:36,-23.1203,-134.9692,68.45,58,91,7.09,Clouds
9,Puerto Ayora,EC,2022-09-27 02:17:31,-0.7393,-90.3518,65.55,96,98,5.01,Clouds
10,Bambous Virieux,MU,2022-09-27 02:21:06,-20.3428,57.7575,70.21,68,20,16.11,Clouds
11,Chuy,UY,2022-09-27 02:21:06,-33.6971,-53.4616,56.01,96,6,5.32,Clear
12,Cabo San Lucas,MX,2022-09-27 02:19:26,22.8909,-109.9124,86.05,85,5,7.45,Clear
13,Sturgeon Falls,CA,2022-09-27 02:21:07,46.3646,-79.9326,54.9,94,100,6.69,Clouds
14,Kurilsk,RU,2022-09-27 02:21:07,45.2333,147.8833,62.56,78,47,8.95,Clouds
15,Hithadhoo,MV,2022-09-27 02:21:07,-0.6,73.0833,82.56,72,89,15.79,Rain
16,Mahebourg,MU,2022-09-27 02:21:08,-20.4081,57.7,70.25,68,20,16.11,Clouds
17,Puerto Baquerizo Moreno,EC,2022-09-27 02:21:08,-0.9,-89.6,67.66,83,100,15.14,Clouds
18,Kotido,UG,2022-09-27 02:21:08,2.9806,34.1331,69.78,60,15,15.52,Clouds
19,Cayenne,GF,2022-09-27 02:21:09,4.9333,-52.3333,78.84,83,0,3.44,Clear
20,Hobart,AU,2022-09-27 02:21:09,-42.8794,147.3294,62.26,73,75,5.75,Clouds
21,Alenquer,BR,2022-09-27 02:21:09,-1.9417,-54.7383,76.73,75,33,3.31,Clouds
22,Saskylakh,RU,2022-09-27 02:21:10,71.9167,114.0833,32.13,82,100,14.38,Clouds
23,Busselton,AU,2022-09-27 02:21:10,-33.65,115.3333,61.11,67,0,0.72,Clear
24,Yellowknife,CA,2022-09-27 02:21:10,62.456,-114.3525,50.56,62,75,15.01,Clouds
25,Hokitika,NZ,2022-09-27 02:21:10,-42.7167,170.9667,59.49,58,98,4.68,Rain
26,Ibatiba,BR,2022-09-27 02:21:11,-20.2339,-41.5106,62.01,95,10,2.62,Clear
27,Albany,US,2022-09-27 02:21:11,42.6001,-73.9662,55.92,86,1,4.38,Clear
